"RestaurantId","Name","Area","Address","Cuisine","Phone","ImageUrl"
"REST-CEN-001","Sobrino de Botín","Central","Calle de Cuchilleros, 17, 28005 Madrid","Castilian / Spanish","",""
"REST-CEN-002","Casa Lucio","Central","Calle de la Cava Baja, 35, 28005 Madrid","Spanish","",""
"REST-CEN-003","Casa Labra","Central","Calle de Tetuán, 12, 28013 Madrid","Tapas / Spanish","",""
"REST-CEN-004","Bodega de la Ardosa","Central","Calle de Colón, 13, 28004 Madrid","Tapas / Vermutería","",""
"REST-CEN-005","Ojalá","Central","Calle de San Andrés, 1, 28004 Madrid","Contemporary / Brunch","",""
"REST-CEN-006","La Bicicleta Café","Central","Plaza de San Ildefonso, 9, 28004 Madrid","Café / Brunch","",""
"REST-CEN-007","Taberna El Sur","Central","Calle de la Torrecilla del Leal, 12, 28012 Madrid","Spanish / Tapas","",""
"REST-CEN-008","Malacatín","Central","Calle de la Ruda, 5, 28005 Madrid","Traditional / Cocido","",""
"REST-CEN-009","Casa Revuelta","Central","Calle de Latoneros, 3, 28005 Madrid","Tapas (Bacalao)","",""
"REST-CEN-010","Chocolatería San Ginés","Central","Pasadizo de San Ginés, 5, 28013 Madrid","Churros & Chocolate","",""

"REST-NOR-001","Honest Greens Caleido (IE Tower)","North","Paseo de la Castellana, 259, 28046 Madrid","Healthy / Mediterranean","+34 931 22 76 64",""
"REST-NOR-002","DiverXO","North","Calle del Padre Damián, 23, 28036 Madrid","Contemporary / Tasting","",""
"REST-NOR-003","Asador Donostiarra","North","Calle de la Infanta Mercedes, 79, 28020 Madrid","Grill / Spanish","",""
"REST-NOR-004","Rubaiyat Madrid","North","Calle de Juan Ramón Jiménez, 37, 28036 Madrid","Steakhouse","",""
"REST-NOR-005","Filandón","North","Carretera de Fuencarral a El Pardo (M-612), Km 1,9, 28049 Madrid","Spanish / Grill","",""
"REST-NOR-006","O'Pazo","North","Calle Reina Mercedes, 20, 28020 Madrid","Galician / Seafood","",""
"REST-NOR-007","La Máquina Original","North","Calle de Sor Ángela de la Cruz, 22, 28020 Madrid","Spanish / Seafood","",""
"REST-NOR-008","Casa Narcisa","North","Paseo de la Castellana, 254, 28046 Madrid","Spanish","",""
"REST-NOR-009","El Qüenco de Pepa","North","Calle Henri Dunant, 21, 28036 Madrid","Spanish / Seasonal","",""
"REST-NOR-010","Desde 1911","North","Calle del Vivero, 3, 28040 Madrid","Seafood","+34 915 45 72 86",""

"REST-EAS-001","Ten Con Ten","East","Calle de Ayala, 6, 28001 Madrid","Spanish / Contemporary","+34 915 75 92 54",""
"REST-EAS-002","La Maruca Velázquez","East","Calle de Velázquez, 54, 28001 Madrid","Cantabrian / Spanish","+34 917 81 49 69",""
"REST-EAS-003","Arzábal Retiro","East","Avenida de Menéndez Pelayo, 13, 28009 Madrid","Spanish / Tapas","+34 914 09 56 61",""
"REST-EAS-004","Punto MX","East","Calle del General Pardiñas, 40, 28001 Madrid","Mexican","+34 914 02 22 26",""
"REST-EAS-005","Los Montes de Galicia","East","Calle de Azcona, 46, 28028 Madrid","Galician / Spanish","+34 913 55 27 86",""
"REST-EAS-006","Casa Dani (Mercado de la Paz)","East","Calle de Ayala, 28, 28001 Madrid","Spanish / Tortilla","+34 915 75 59 25",""
"REST-EAS-007","Amazónico","East","Calle de Jorge Juan, 20, 28001 Madrid","Latin / Asian fusion","+34 915 15 43 32",""
"REST-EAS-008","El Paraguas","East","Calle de Jorge Juan, 16, 28001 Madrid","Asturian / Spanish","+34 914 31 59 50",""
"REST-EAS-009","Ramón Freixa Atelier","East","Calle de Velázquez, 24, 28001 Madrid","Creative / Tasting","+34 603 96 12 93",""
"REST-EAS-010","La Catapa","East","Calle de Menorca, 14, 28009 Madrid","Spanish / Tapas","+34 915 74 26 15",""
